,null_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.1461646056449588,0.15427704723750496,0.5457935894695397,0.3368209602244345,0.4673998088723592,R
1,0.18625252956067345,0.23713173569898294,0.27357482220819307,0.4520278432107982,0.32029673020698657,R
2,0.36847042327241647,0.01046563259171913,0.23265127393313279,0.12661474408855697,0.2882737706371753,R
3,0.8297792419527962,0.9482878914384694,0.7798669268885254,0.5928108927993273,0.9950208150539857,M
4,0.40299812480498903,0.3572690460478407,0.4401655484212697,0.07208207601850819,0.10219679138668379,R
5,0.030405090161508358,0.2549740384216149,0.1250645989370882,0.08602964649137294,0.10046888447231712,R
6,0.5348757819750901,0.007573391373893149,0.1717143559892341,0.48665241693144645,0.09852293830010059,R
7,0.4435723426171381,0.3504318336608831,0.05587243591898343,0.5192511525319206,0.04649151601063398,R
8,0.478159389721098,0.1911099814569345,0.32224367817541477,0.5286906310883336,0.04101508160627037,R
9,0.9361807873226302,0.9189530584617793,0.4242598908701757,0.7382076432240584,0.4612909961301769,M
10,0.23777782800574082,0.5043064531464779,0.41750359644947793,0.3583904547447358,0.4003338382837493,R
11,0.4636999411886977,0.5519355932047699,0.30074220001874796,0.2238334349015212,0.06836951438859243,R
12,0.5055316544465472,0.795810316045278,0.6439045477309183,0.8759348016052554,0.8410496615842454,M
13,0.5110922601349993,0.939860587738865,0.6341152523373985,0.46963909045379687,0.42281813125926954,M
14,0.7784040563097939,0.601337827629048,0.4692543160759788,0.8455253129092517,0.5419452493546796,M
15,0.10143750432772353,0.10139464703396177,0.3818485918286248,0.33627751044571697,0.5150103935313195,R
16,0.878887894930654,0.9357031796632536,0.6165619028383139,0.6097658027757623,0.44002019324463965,M
17,0.43232637278522457,0.30998131094281073,0.050407320448924826,0.5030643238959497,0.40124003461380425,R
18,0.35981808015023437,0.5422784748079462,0.1980995338836599,0.18601315737328722,0.22019630683284172,R
19,0.997623296900711,0.7706728457482753,0.7979197409924847,0.9339009309203683,0.6501242884364241,M
20,0.4807327377441271,0.5368842835046138,0.7947187385414582,0.7334322725744771,0.947636521799647,M
21,0.4119946787682923,0.44333362129552384,0.11988746429803267,0.5693330741958731,0.3101732536699645,R
22,0.4513765720796976,0.8691795857896771,0.6774801501383159,0.8854462105500958,0.9010054993352576,M
23,0.8212817751095443,0.7478182987712065,0.7929777490063811,0.5707499586061979,0.45716472664727204,M
24,0.05788399370162031,0.033315335220963006,0.4537598354398295,0.4313915153293701,0.3411736468790592,R
25,0.030326915942171975,0.56790868493737,0.4020378956931991,0.42246622059585387,0.5053152752133424,R
26,0.7621617632238362,0.7958470039724759,0.5248495350357011,0.5342311668173294,0.8942371295051545,M
27,0.013554370149842017,0.5343519810537432,0.04493890678814299,0.467715815343963,0.06973964448255814,R
28,0.4454260083490945,0.013903967988961494,0.5071401906886085,0.15853332136925105,0.0651297496688781,R
29,0.18159749338151385,0.4264061259395596,0.5244404859776604,0.013048328233125605,0.28118790691650475,R
30,0.20572153564171156,0.18084626861747133,0.16761921221081866,0.4608911599453078,0.5455500714225676,R
31,0.5095977189647525,0.5745821962505245,0.820364028842709,0.5585584690712005,0.44355366553402886,M
32,0.5221926487273424,0.30028455610363286,0.40496001271391396,0.3120706943937356,0.137109166787762,R
33,0.509033117463276,0.9115742456318117,0.9505601012138869,0.7955945185080627,0.6293177262107309,M
34,0.4564130967435718,0.5598458028587243,0.6890966584300131,0.4342788910139328,0.42491132868033205,M
35,0.0851739930915723,0.0200199338947082,0.06244166530224635,0.2883578264013501,0.06657178451989085,R
36,0.10158819251319251,0.14582505938306253,0.03083241529376888,0.5514470979352757,0.12845138575627232,R
37,0.3569093136317977,0.32505118548134776,0.5032816561723717,0.07982969034491183,0.32672548044787847,R
38,0.9679250057722253,0.5229975621621071,0.8021301385346928,0.9713218618669772,0.5087667977748538,M
39,0.5588731637807167,0.5601896464285853,0.7810527454170959,0.732326779631626,0.8062207846210274,M
40,0.5319064571610752,0.19103052564108755,0.3973476935471073,0.2501892211825087,0.25880753228389425,R
41,0.7917910727897282,0.6828633387673428,0.8255494924526297,0.7300806901121535,0.9657508709292371,M
42,0.05444589897164233,0.29311195450435534,0.4154668421790223,0.24099624929340302,0.5689506841048793,R
43,0.734310475891427,0.8597803546768927,0.9888505239113434,0.8589378561557717,0.5123903364714677,M
44,0.8852376782486104,0.6609461967415146,0.5526142309231178,0.4857056921750932,0.6233052161784428,M
45,0.048004857257494725,0.29398324409594634,0.41821270658263726,0.19912544472533056,0.4712951392193648,R
